表側１,表側２,表側３,回答企業数(件),適切な候補者の不在(％),後継者の教育・成長(％),業績不振(％),株式の分散問題(％),後継者の株式の取得資金(％),相続税・贈与税の問題(％),借入金の返済(％),個人保証の問題(％),事業承継の社内体制が未整備(％),相談相手の不在(％),業界の将来性への不安(％),事業の引継先（M&A)が見つからない(％),その他(％),特になし(％),無回答(％)
,,今回調査（全体）,1554,26.1,18.4,33.1,1,1.9,6.9,12,2.6,3.8,2.5,22.7,1.7,2,18.6,5.7
業種別,,総合商品小売業,147,30.6,40.1,17.7,1.4,2.7,5.4,17.7,4.8,7.5,3.4,16.3,0,1.4,16.3,6.1
業種別,,生鮮食品小売業,74,29.7,17.6,18.9,1.4,2.7,6.8,4.1,0,0,0,14.9,0,2.7,25.7,9.5
業種別,,食料品関連小売業,380,23.7,13.9,33.4,1.3,0.5,8.7,9.5,1.3,2.9,2.6,21.3,0.8,2.6,21.1,5.5
業種別,,衣料品関連小売業,232,26.7,13.4,46.6,0.4,0.4,3,12.9,3.4,2.2,1.7,22.8,2.2,0.9,14.2,6
業種別,,住関連小売業,126,31,18.3,27,0,1.6,9.5,12.7,3.2,4,1.6,25.4,0.8,2.4,18.3,4.8
業種別,,その他小売業,593,24.8,18,34.6,1.2,3.2,7.1,12.5,2.7,4.6,3,25.6,2.9,2,18.5,5.4
従業者規模別,,1～2人,745,28.2,7.8,37.2,0.1,0.4,5.1,8.2,1.9,1.7,1.9,20.7,1.9,2.4,22.1,6.7
従業者規模別,,3～5人,404,23.5,24.5,32.9,1.2,2,8.9,11.9,2,3.7,2.7,25.2,2,1.7,14.6,4.7
従業者規模別,,6～19人,244,25.8,30.3,26.2,0.8,2,9.4,18.9,3.7,9.8,2.9,25,1.2,1.6,17.2,3.7
従業者規模別,,20人以上,126,25.4,41.3,22.2,5.6,11.1,6.3,23.8,7.1,5.6,4,20.6,0,1.6,15.1,5.6
経常損益の変化別(前年同期比),,増益,96,35.4,30.2,17.7,0,1,2.1,9.4,2.1,13.5,6.3,17.7,2.1,6.3,24,1
経常損益の変化別(前年同期比),,横ばい,278,28.1,23.7,18,0,1.8,7.9,6.8,1.4,2.2,1.8,22.7,0.7,0.7,21.9,4.7
経常損益の変化別(前年同期比),,減益,1080,25,16.5,39.4,1.4,2.2,7.2,13.8,2.8,3.6,2.4,23.9,1.9,1.8,17.4,5.5
経常損益の変化別(3年前),,増益,184,27.7,23.9,27.7,0.5,2.7,10.3,13,2.2,8.2,4.3,23.4,3.3,2.7,20.1,5.4
経常損益の変化別(3年前),,横ばい,476,26.1,16.8,27.9,0.6,1.7,6.9,11.3,2.9,2.9,2.7,21,2.1,2.3,21.8,7.4
経常損益の変化別(3年前),,減益,717,25.4,18.4,39.6,1.5,2.4,6.6,13.1,2.4,3.2,2.2,24.4,1.4,1.1,16.2,4
,23.4,3.3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,0,0,0,0,0,0,0,1,5,0,2,0,0,3
日野市南平５丁目,11,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,4,0,0,3,0,0,0,0,0,0,0,1,5,2,0,0,0,3
日野市南平６丁目,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,2,0,0,1,0,0,0,0,1,3,1,1,0,0,1
日野市南平７丁目,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,4,1,0,0,0,0,0,2,2,4,0,3,0,0,1
日野市南平８丁目,5,0,0,0,1,0,0,0,1,0,2,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
日野市南平９丁目,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,1
日野市平山３丁目,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,3
日野市平山４丁目,9,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,3,1,0,0,2
日野市平山５丁目,9,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0,5,0,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0
日野市平山６丁目,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,1,3,1,0,0,0,2
日野市東平山１丁目,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2
日野市東平山２丁目,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,3,0,0,0,1
日野市東平山３丁目,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,2,1,0,0,0,1
日野市西平山１丁目,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1,0,0,0,0,0,0,1,2,1,0,0,0,1
日野市西平山２丁目,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
日野市西平山３丁目,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
日野市西平山４丁目,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0
日野市西平山５丁目,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,5,0,0,0,0,0,0,1,4,1,0,0,0,3
